State,Average Dog Adoptions,Average Cat Adoptions,ratio (Cat:Dog)
Alabama,210,166,0.7904761905
Alaska,109,165,1.513761468
Arizona,190,173,0.9105263158
Arkansas,176,149,0.8465909091
California,176,214,1.215909091
Colorado,199,304,1.527638191
Connecticut,83,101,1.21686747
Delaware,188,311,1.654255319
Florida,178,280,1.573033708
Georgia,189,225,1.19047619
Hawaii,295,415,1.406779661
Idaho,182,270,1.483516484
Illinois,147,225,1.530612245
Indiana,160,250,1.5625
Iowa,192,295,1.536458333
Kansas,207,241,1.164251208
Kentucky,184,207,1.125
Louisiana,176,221,1.255681818
Maine,100,351,3.51
Maryland,137,334,2.437956204
Massachusetts,117,274,2.341880342
Michigan,131,202,1.541984733
Minnesota,179,302,1.687150838
Mississippi,191,163,0.8534031414
Missouri,196,237,1.209183673
Montana,175,241,1.377142857
Nebraska,182,263,1.445054945
Nevada,183,277,1.513661202
New Hampshire,107,369,3.448598131
New Jersey,97,194,2
New Mexico,262,264,1.007633588
New York,111,219,1.972972973
North Carolina,163,206,1.263803681
North Dakota,139,220,1.582733813
Ohio,157,247,1.573248408
Oklahoma,178,167,0.9382022472
Oregon,137,254,1.854014599
Pennsylvania,129,260,2.015503876
Rhode Island,96,188,1.958333333
South Carolina,201,209,1.039800995
South Dakota,141,164,1.163120567
Tennessee,188,198,1.053191489
Texas,237,238,1.004219409
Utah,149,254,1.704697987
Vermont,89,214,2.404494382
Virginia,165,254,1.539393939
Washington,158,309,1.955696203
West Virginia,183,198,1.081967213
Wisconsin,145,333,2.296551724
Wyoming,172,241,1.401162791